ID,Name_deDE,Name_enUS,Name_esES,Name_esMX,Name_frFR,Name_koKR,Name_ptBR,Name_ruRU,Name_zhCN,Name_zhTW
309,Skorpid,Scorpid,Escórpido,Escórpido,Scorpide,전갈,Escorpídeo,Скорпид,蝎子,蠍子
310,Wildtier - Fledermaus,Beast - Bat,Bestia: murciélago,Bestia: murciélago,Bête - Chauve-souris,야수 - 박쥐,Fera - Morcego,Животное: летучая мышь,蝙蝠,蝙蝠
311,Titanisch,Titan,Titán,Titán,Titan,티탄,Titã,Титан,泰坦,泰坦
329,Zuchtmeister Fizzule,Taskmaster Fizzule,Capataz Burbujita,Capataz Fizzule,Sous-chef Fizzule,감독관 피즐,Capataz Arruela,Надсмотрщик Физзул,工头费苏勒,工頭費蘇勒
349,Ravenholdt,Ravenholdt,Ravenholdt,Ravenholdt,Ravenholdt,라벤홀트 암살단,Corvoforte,Черный Ворон,拉文霍德,拉文霍德
369,Gadgetzan,Gadgetzan,Gadgetzan,Gadgetzan,Gadgetzan,가젯잔,Geringontzan,Прибамбасск,加基森,加基森
389,Gnomeregan-Bug,Gnomeregan Bug,Bicho de Gnomeregan,Bicho de Gnomeregan,Insecte de Gnomeregan,놈리건 버그,Inseto de Gnomeregan,Гномреганский жук,Gnomeregan Bug,諾姆瑞根蟲
409,Harpyie,Harpy,Arpía,Arpía,Harpie,하피,Harpia,Гарпия,鹰身人,鷹身人
429,Burning Blade,Burning Blade,Filo Ardiente,Filo Ardiente,Lame ardente,불타는 칼날단,Lâmina Ardente,Пылающий Клинок,火刃氏族,火刃氏族
449,Schattenseidewilderer,Shadowsilk Poacher,Furtivo Sedaumbría,Furtivo Sedaumbría,Braconnier Ombresoie,그늘거미 밀렵꾼,Larápio de Sedanera,Браконьер тенешелка,暗影蛛丝偷猎者,暗影蛛絲偷獵者
450,Sengende Spinne,Searing Spider,Araña abrasadora,Araña abrasadora,Araignée des Vents brûlants,용암거미,Aranha Ardente,Лавовый паук,Searing Spider,灼熱蜘蛛
469,Allianz,Alliance,Alianza,Alianza,Alliance,얼라이언스 연합,Aliança,Альянс,联盟,聯盟
470,Ratchet,Ratchet,Trinquete,Trinquete,Ratchet,톱니항,Vila Catraca,Кабестан,棘齿城,棘齒城
471,Wildhammerklan,Wildhammer Clan,Clan Martillo Salvaje,Clan Martillo Salvaje,Clan Wildhammer,와일드해머 드워프,Clã Martelo Feroz,Неистовый Молот,蛮锤部族,蠻錘部族
489,"Goblin, Dunkeleisen (Bargast)","Goblin, Dark Iron Bar Patron","Goblin, Dueño de un bar de Hierro Negro","Goblin, Dueño de bar Hierro Negro","Gobelin, client du bar sombrefer",고블린 - 검은무쇠 주점 손님,"Goblin, Cliente do Bar Ferro Negro",Гоблин: завсегдатай бара Черного Железа,"Goblin, Dark Iron Bar Patron",黑鐵酒吧哥布林老闆
509,Der Bund von Arathor,The League of Arathor,Liga de Arathor,Liga de Arathor,La Ligue d'Arathor,아라소르 연맹,A Liga de Arathor,Лига Аратора,阿拉索联军,阿拉索聯軍
510,Die Entweihten,The Defilers,Los Rapiñadores,Los Rapiñadores,Les Profanateurs,포세이큰 파멸단,Os Profanadores,Осквернители,污染者,污染者
511,Riese,Giant,Gigante,Gigante,Géant,거인,Gigante,Великан,巨人,巨人
529,Argentumdämmerung,Argent Dawn,Alba Argenta,El Alba Argenta,Aube d'argent,은빛 여명회,Aurora Argêntea,Серебряный Рассвет,银色黎明,銀色黎明
530,Darkspear,Darkspear Trolls,Trols de Lanza Negra,Trols Lanza Negra,Trolls Darkspear,검은창 트롤,Trolls Lançanegra,Племя Черного Копья,暗矛巨魔,暗矛食人妖
531,"Drachenschwarm, Bronze","Dragonflight, Bronze","Vuelo, Bronce","Vuelo, Bronce",Vol de bronze,용군단 - 청동용군단,Revoada Dragônica Bronze,Бронзовые драконы,青铜龙军团,青銅龍軍團
532,"Drachenschwarm, Blau","Dragonflight, Blue","Vuelo, Azul","Vuelo, Azul",Vol bleu,용군단 - 푸른용군단,Revoada Dragônica Azul,Синие драконы,蓝龙军团,藍龍軍團
549, Lederverarbeitung - Stamm, Leatherworking - Tribal, Peletería: tribal, Peletería: tribal, Travail du cuir - Tribal, 가죽세공 - 부족전통, Couraria - Tribal,Кожевничество: традиции предков, Leatherworking - Tribal, 製皮 - 部落
550, Ingenieurskunst - Goblin, Engineering - Goblin, Ingeniería: goblin, Ingeniería: goblin, Ingénieur - Gobelin, 기계공학 - 고블린, Engenharia - Goblin,Инженерное дело: школа гоблинов, Engineering - Goblin, 工程學 - 哥布林
551, Ingenieurskunst - Gnom, Engineering - Gnome, Ingeniería: gnoma, Ingeniería: gnoma, Ingénieur - Gnome, 기계공학 - 노움, Engenharia - Gnômica,Инженерное дело: школа гномов, Engineering - Gnome, 工程學 - 地精
569, Schmiedekunst - Hammerschmiedekunst, Blacksmithing - Hammersmithing, Herrería: martillos, Herrería: martillos, Forge - Fabricant de marteaux, 대장기술 - 망치 제작, Ferraria - Forja de Martelos,Кузнечное дело: ковка молотов, Blacksmithing - Hammersmithing, 鍛造 - 槌類鍛造
570, Schmiedekunst - Axtschmiedekunst, Blacksmithing - Axesmithing, Herrería: hachas, Herrería: hachas, Forge - Fabricant de haches, 대장기술 - 도끼 제작, Ferraria - Forja de Machados,Кузнечное дело: ковка топоров, Blacksmithing - Axesmithing, 鍛造 - 斧類鍛造
571, Schmiedekunst - Schwertschmiedekunst, Blacksmithing - Swordsmithing, Herrería: espadas, Herrería: espadas, Forge - Fabricant d'épées, 대장기술 - 검 제작, Ferraria - Forja de Espadas,Кузнечное дело: ковка мечей, Blacksmithing - Swordsmithing, 鍛造 - 劍類鍛造
572,"Troll, Vilebranch","Troll, Vilebranch","Trol, Vilrama","Trol, Vilrama","Troll, Vilebranch",트롤 - 썩은가지부족,"Troll, Ramatorpe",Тролль: Порочная Ветвь,邪枝巨魔,邪枝食人妖
573,Südmeerfreibeuter,Southsea Freebooters,Filibusteros del Mar del Sur,Filibusteros de los Mares del Sur,Flibustiers des Mers du sud,남쪽바다 해적단,Os Flibusteiros dos Mares do Sul,Флибустьеры Южных морей,南海海盗,南海海盜
574,Caer Darrow,Caer Darrow,Castel Darrow,Castel Darrow,Caer Darrow,카엘 다로우,Caer Darrow,Каэр Дарроу,凯尔达隆,凱爾達隆
575,"Furbolg, nicht verderbt","Furbolg, Uncorrupted","Fúrbolg, incorrupto","Fúrbolg, incorrupto","Furbolg, non corrompu",오염되지 않은 펄볼그,"Pelurso, não corrompido","Фурболг, Неиспорченный",未堕落的熊怪,未墮落的熊怪
576,Holzschlundfeste,Timbermaw Hold,Bastión de los Fauces de Madera,Bastión Fauces de Madera,Les Grumegueules,나무구렁 요새,Domínio dos Presamatos,Древобрюхи,木喉要塞,木喉要塞
577,Everlook,Everlook,Vista Eterna,Vista Eterna,Long-guet,눈망루 마을,Visteterna,Круговзор,永望镇,永望鎮
589,Wintersäblerausbilder,Wintersaber Trainers,Entrenadores de Sableinvernales,Instructores de sableinvernales,Éleveurs de sabres-d'hiver,눈호랑이 조련사,Treinadores de Sabres-do-inverno,Укротители ледопардов,冬刃豹训练师,冬刃豹訓練師
609,Zirkel des Cenarius,Cenarion Circle,Círculo Cenarion,Círculo Cenarion,Cercle cénarien,세나리온 의회,Círculo Cenariano,Круг Кенария,塞纳里奥议会,塞納里奧議會
629,Shatterspear,Shatterspear Trolls,Trols Rompelanzas,Trols Rompelanzas,Trolls Shatterspear,트롤 - 뾰족창부족,Trolls Lança Partida,Тролли из племени Пронзающего Копья,断矛巨魔,斷矛食人妖
630,Ravasaurusausbilder,Ravasaur Trainers,Entrenadores de Ravasaurios,Instructores de Ravasaurios,Eleveurs de ravasaures,라바사우루스 조련사,Treinadores de Ravassauros,Дрессировщики равазавров,暴掠龙训练师,暴掠龍訓練師
649,Majordomus Executus,Majordomo Executus,Mayordomo Executus,Mayordomo Executus,Chambellan Executus,청지기 이그젝큐투스,Senescal Executus,Мажордом Экзекутус,管理者埃克索图斯,管理者埃克索圖斯
669,Wildtier - Aasvogel,Beast - Carrion Bird,Bestia: pájaro carroñero,Bestia: pájaro carroñero,Bête - Charognard,야수 - 독수리,Fera - Ave Carniceira,Животное: падальщик,Beast - Carrion Bird,禿鷹
670,Wildtier - Katze,Beast - Cat,Bestia: gato,Bestia: gato,Bête - Chat,야수 - 살쾡이,Fera - Gato,Животное: кошка,Beast - Cat,貓
671,Wildtier - Krebs,Beast - Crab,Bestia: cangrejo,Bestia: cangrejo,Bête - Crabe,야수 - 게,Fera - Caranguejo,Животное: краб,Beast - Crab,螃蟹
672,Wildtier - Krokilisk,Beast - Crocilisk,Bestia: crocolisco,Bestia: crocolisco,Bête - Crocilisque,야수 - 악어,Fera - Crocolisco,Животное: кроколиск,Beast - Crocilisk,鱷魚
673,Wildtier - Hyäne,Beast - Hyena,Bestia: hiena,Bestia: hiena,Bête - Hyène,야수 - 하이에나,Fera - Hiena,Животное: гиена,Beast - Hyena,土狼
674,Wildtier - Eule,Beast - Owl,Bestia: búho,Bestia: búho,Bête - Chouette,야수 - 올빼미,Fera - Coruja,Животное: сова,Beast - Owl,貓頭鷹
675,Wildtier - Skorpid,Beast - Scorpid,Bestia: escórpido,Bestia: escórpido,Bête - Scorpide,야수 - 전갈,Fera - Escorpídeo,Животное: скорпид,Beast - Scorpid,蠍子
676,Wildtier - Weitschreiter,Beast - Tallstrider,Bestia: zancaalta,Bestia: zancaalta,Bête - Haut-trotteur,야수 - 타조,Fera - Moa,Животное: долгоног,Beast - Tallstrider,陸行鳥
677,Wildtier - Schildkröte,Beast - Turtle,Bestia: tortuga,Bestia: tortuga,Bête - Tortue,야수 - 거북,Fera - Tartaruga,Животное: черепаха,Beast - Turtle,烏龜
678,Wildtier - Windnatter,Beast - Wind Serpent,Bestia: serpiente alada,Bestia: serpiente alada,Bête - Serpent du vent,야수 - 천둥매,Fera - Serpente Alada,Животное: крылатый змей,Beast - Wind Serpent,風蛇
679,Trainingsattrappe,Training Dummy,Diana de entrenamiento,Muñeco de entrenamiento,Mannequin d’entraînement,훈련용 허수아비,Boneco de Treinamento,Чучело для тренировок,Training Dummy,訓練用假人
689,"Drachenschwarm, schwarz - Köder","Dragonflight, Black - Bait","Vuelo, Negro: cebo","Vuelo, Negro: cebo",Vol noir - Appât,용군단 - 검은용군단 (미끼),Revoada Dragônica Negra - Isca,Черные драконы: наживка,"Dragonflight, Black - Bait",黑龍軍團 - 誘餌
709,"Schlachtfeld, neutral",Battleground Neutral,Neutral en campo de batalla,Neutral en campo de batalla,Neutres des Champs de bataille,전장 중립,Campo de Batalha Neutro,Поле боя: нейтральные,Battleground Neutral,戰場中立方
729,Frostwolfklan,Frostwolf Clan,Clan Lobo Gélido,Clan Lobo Gélido,Clan Frostwolf,서리늑대 부족,Clã Lobo do Gelo,Клан Северного Волка,霜狼氏族,霜狼氏族
730,Stormpikegarde,Stormpike Guard,Guardia de Pico Tormenta,Guardia Pico Tormenta,Garde Stormpike,스톰파이크 경비대,Guarda de Lançatroz,Стража Грозовой Вершины,雷矛卫队,雷矛衛隊
749,Hydraxianer,Hydraxian Waterlords,Señores del Agua de Hydraxis,Srs. del Agua de Hydraxis,Les Hydraxiens,히드락시안 물의 군주,Senhores das Águas Hidraxianos,Гидраксианские Повелители Вод,海达希亚水元素,海達希亞水元素
750,Sulfuronfeuerlords,Sulfuron Firelords,Señores del Fuego Sulfuron,Señores del Fuego de Sulfuron,Seigneurs du feu de Sulfuron,설퍼론 불의 군주,Senhores do Fogo de Sulfuron,Сульфуронские Повелители Огня,萨弗隆火元素,薩弗隆火元素
769,Gizlocks Attrappe,Gizlock's Dummy,Diana de Gizlock,Muñeco de Gizlock,Mannequin de Gizlock,기즐록의 허수아비,Boneco de Bugitranca,Болванчик Гизлока,吉兹洛克的假人,吉茲洛克的假人
770,Gizlocks Glücksbringer,Gizlock's Charm,Talismán de Gizlock,Talismán de Gizlock,Amulette de Gizlock,기즐록의 부적,Amuleto de Bugitranca,Оберег Гизлока,Gizlock's Charm,吉茲洛克的護身符
771,Gizlock,Gizlock,Gizlock,Gizlock,Gizlock,기즐록,Bugitranca,Гизлок,吉兹洛克,吉茲洛克
789,Moro'gai,Moro'gai,Moro'gai,Moro'gan,Moro'gai,모로가이,Moro'gai,Моро'гай,莫洛加,莫洛加
790,Geisterführer - Allianz,Spirit Guide - Alliance,Guía espiritual: Alianza,Guía espiritual: Alianza,Guide spirituel - Alliance,영혼의 인도자 - 얼라이언스,Espírito-guia - Aliança,Хранитель душ: Альянс,Spirit Guide - Alliance,聯盟精靈嚮導
809,Shen'dralar,Shen'dralar,Shen'dralar,Shen'dralar,Shen'dralar,셴드랄라,Shen'dralar,Шен'дралар,辛德拉,辛德拉
829,Oger (Captain Kromcrush),Ogre (Captain Kromcrush),Ogro (capitán Kromcrush),Ogro (capitán Kromcrush),Ogre (capitaine Kromcrush),오우거 (대장 크롬크러쉬),Ogro (Capitão Kebrapaw),Огр: Капитан Давигром,Ogre (Captain Kromcrush),巨魔(克羅卡斯)
849,Geisterführer - Horde,Spirit Guide - Horde,Guía espiritual: Horda,Guía espiritual: Horda,Guide spirituel - Horde,영혼의 인도자 - 호드,Espírito-guia - Horda,Хранитель душ: Орда,Spirit Guide - Horde,部落精靈嚮導
869,Jaedenar,Jaedenar,Jaedenar,Jaedenar,Jaedenar,자에데나르,Jaedenar,Джеденар,加德纳尔,加德納爾
889,Warsongvorhut,Warsong Outriders,Escolta Grito de Guerra,Escoltas Grito de Guerra,Voltigeurs Warsong,전쟁노래 정찰대,Pioneiros do Brado Guerreiro,Всадники Песни Войны,战歌氏族,戰歌偵察騎兵
890,Schildwachen der Silverwing,Silverwing Sentinels,Centinelas Ala de Plata,Centinelas Ala de Plata,Sentinelles d'Aile-argent,은빛날개 파수대,Sentinelas da Asa de Prata,Среброкрылые Часовые,银翼要塞,銀翼要塞的戰士
891,Streitkräfte der Allianz,Alliance Forces,Fuerzas de la Alianza,Fuerzas de la Alianza,Forces de l'Alliance,얼라이언스 군대,Forças da Aliança,Силы Альянса,联盟部队,聯盟部隊
892,Streitkräfte der Horde,Horde Forces,Fuerzas de la Horda,Fuerzas de la Horda,Forces de la Horde,호드 군대,Forças da Horda,Силы Орды,部落军队,部落軍隊
893,Revantusk,Revantusk Trolls,Trols Sañadiente,Trols Sañadiente,Trolls Revantusk,레반터스크 트롤,Trolls Revatusco,Тролли Сломанного Клыка,恶齿巨魔,惡齒食人妖
909,Dunkelmond-Jahrmarkt,Darkmoon Faire,Feria de la Luna Negra,Feria de la Luna Negra,Foire de Sombrelune,다크문 유랑단,Feira de Negraluna,Ярмарка Новолуния,暗月马戏团,暗月馬戲團
910,Brut Nozdormus,Brood of Nozdormu,Linaje de Nozdormu,Linaje de Nozdormu,Progéniture de Nozdormu,노즈도르무 혈족,Prole de Nozdormu,Род Ноздорму,诺兹多姆的子嗣,諾茲多姆的子嗣
912,Macht von Kalimdor,Might of Kalimdor,Poder de Kalimdor,Poder de Kalimdor,Puissance de Kalimdor,칼림도어 연합군,Poder de Kalimdor,Армия Калимдора,卡利姆多联军,卡林多聯軍
915,Armeen von C'Thun,Armies of C'Thun,Ejércitos de C'Thun,Ejércitos de C'Thun,Armées de C'Thun,쑨의 군대,Exércitos de C'Thun,Армии К'Туна,克苏恩的军队,克蘇恩軍隊
916,Silithidenaggressoren,Silithid Attackers,Atacantes silítidos,Atacantes silítidos,Attaquants silithides,실리시드 침략자,Atacantes Silitídeos,Силитиды: захватчики,异种虫类,異種攻擊者
917,Die Ironforgebrigade,The Ironforge Brigade,Brigada de Forjaz,Brigada de Forjaz,Brigade d'Ironforge,아이언포지 여단,A Brigada de Altaforja,Дружина Стальгорна,铁炉堡军团,鐵爐堡軍旅
918,RC Enemies,RC Enemies,RC Enemies,RC Enemies,RC Enemies,RC Enemies,RC Enemies,RC Enemies,RC Enemies,RC Enemies
919,RC Objects,RC Objects,RC Objects,RC Objects,RC Objects,RC Objects,RC Objects,RC Objects,RC Objects,RC Objects
920,Rot,Red,Rojo,Rojo,Rouge,홍팀,Vermelho,Красные,红,紅色
921,Blau,Blue,Azul,Azul,Bleu,청팀,Azul,Синие,蓝,藍色
928,Geißelinvasoren,Scourge Invaders,Invasores de la Plaga,Invasores de la Plaga,Envahisseurs du Fléau,스컬지 침략군,Invasores do Flagelo,Захватчики Плети,天灾入侵者,天譴入侵者
931,Test Faction (not a real faction),Test Faction (not a real faction),Test Faction (not a real faction),Test Faction (not a real faction),Test Faction (not a real faction),Test Faction (not a real faction),Test Faction (not a real faction),Test Faction (not a real faction),Test Faction (not a real faction),Test Faction (not a real faction)
950,ToWoW - Flag,ToWoW - Flag,ToWoW - Flag,ToWoW - Flag,ToWoW - Flag,ToWoW - Flag,ToWoW - Flag,ToWoW - Flag,ToWoW - Flag,ToWoW - Flag
951,ToWoW - Flag Trigger Alliance (DND),ToWoW - Flag Trigger Alliance (DND),ToWoW - Flag Trigger Alliance (DND),ToWoW - Flag Trigger Alliance (DND),ToWoW - Flag Trigger Alliance (DND),ToWoW - Flag Trigger Alliance (DND),ToWoW - Flag Trigger Alliance (DND),ToWoW - Flag Trigger Alliance (DND),ToWoW - Flag Trigger Alliance (DND),ToWoW - Flag Trigger Alliance (DND)
954,ToWoW - Flag Trigger Horde (DND),ToWoW - Flag Trigger Horde (DND),ToWoW - Flag Trigger Horde (DND),ToWoW - Flag Trigger Horde (DND),ToWoW - Flag Trigger Horde (DND),ToWoW - Flag Trigger Horde (DND),ToWoW - Flag Trigger Horde (DND),ToWoW - Flag Trigger Horde (DND),ToWoW - Flag Trigger Horde (DND),ToWoW - Flag Trigger Horde (DND)
2402,CTF - Flagge - Horde,CTF - Flag - Horde,CLB - Bandera - Horda,CLB - Bandera - Horda,JdD - Drapeau - Horde,깃발 회수 - 깃발 - 호드,CAB - Bandeira - Horda,Захват флага: Орда,CTF - Flag - Horde,奪取旗幟 - 旗幟 - 部落
2403,CTF - Flagge - Allianz,CTF - Flag - Alliance,CLB - Bandera - Alianza,CLB - Bandera - Alianza,JdD - Drapeau - Alliance,깃발 회수 - 깃발 - 얼라이언스,CAB - Bandeira - Aliança,Захват флага: Альянс,CTF - Flag - Alliance,奪取旗幟 - 旗幟 - 聯盟
